============================================================
Distillation Sweep: math
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_math.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_math.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_math.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_math.py D_long

Monitoring 4 configs...
  [03:20:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:21:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:21:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:22:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:22:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:23:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:23:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:24:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:24:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:25:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:25:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:26:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:26:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:27:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:27:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:28:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:28:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:29:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:29:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:30:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:30:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:31:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:31:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:32:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:32:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:33:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:33:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:34:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:34:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:35:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:35:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:36:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:36:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:37:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:37:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:38:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:38:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:39:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:39:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:40:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:40:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:41:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:41:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:42:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:42:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:43:18] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:43:48] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:44:19] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:44:49] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:45:19] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:45:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:46:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:46:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:47:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:47:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:48:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:48:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:49:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:49:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:50:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:50:49] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:51:19] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:51:50] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:52:20] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:52:50] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:53:20] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:53:50] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:54:20] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:54:50] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:55:21] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:55:51] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:56:21] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:56:51] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:57:21] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:57:51] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:58:21] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:58:51] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:59:21] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [03:59:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:00:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:00:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:01:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:01:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:02:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:02:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:03:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:03:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:04:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:04:52] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:05:22] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:05:53] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:06:23] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:06:53] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:07:23] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:07:53] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:08:23] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:08:53] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:09:23] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
  [04:09:53] A_fast: done (rc=0) | B_medium: done (rc=-15) | C_gentle: step 0 | D_long: step 0
