============================================================
Distillation Sweep: code
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_code.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_code.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_code.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_code.py D_long

Monitoring 4 configs...
  [03:07:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:07:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:08:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:08:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:09:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:09:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:10:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:10:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:11:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:11:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:12:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:12:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:13:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:13:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:14:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:14:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:15:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:15:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:16:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:16:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:17:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:17:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:18:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:18:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:19:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:19:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:20:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:20:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:21:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
